"kodesatker","nama satker","simkb gempa dan tsunami"
2,"BPS Pusdiklat BPS","69.85"
1300,"BPS Provinsi Sumatera Barat","69.60"
7400,"BPS Provinsi Sulawesi Tenggara","72.01"
7200,"BPS Provinsi Sulawesi Tengah","71.41"
7600,"BPS Provinsi Sulawesi Barat","70.43"
5200,"BPS Provinsi Nusa Tenggara Barat","69.86"
8100,"BPS Provinsi Maluku","72.17"
3500,"BPS Provinsi Jawa Timur","70.77"
1700,"BPS Provinsi Bengkulu","71.16"
1100,"BPS Provinsi Aceh","70.16"
3278,"BPS Kota Tasikmalaya","80.83"
3578,"BPS Kota Surabaya","73.41"
3272,"BPS Kota Sukabumi","75.31"
1372,"BPS Kota Solok","60.73"
7271,"BPS Kota Palu","63.58"
1371,"BPS Kota Padang","71.09"
5271,"BPS Kota Mataram","68.93"
7171,"BPS Kota Manado","72.39"
7471,"BPS Kota Kendari","76.32"
1278,"BPS Kota Gunung Sitoli","67.56"
3572,"BPS Kota Blitar","63.16"
1771,"BPS Kota Bengkulu","65.91"
1171,"BPS Kota Banda Aceh","72.21"
3503,"BPS Kab. Trenggalek","63.01"
9103,"BPS Kab. Teluk Wondama","71.46"
9104,"BPS Kab. Teluk Bintuni","58.66"
5207,"BPS Kab. Sumbawa Barat","68.49"
5302,"BPS Kab. Sumba Timur","77.24"
5301,"BPS Kab. Sumba Barat","73.72"
9106,"BPS Kab. Sorong Selatan","59.38"
3404,"BPS Kab. Sleman","68.80"
1101,"BPS Kab. Simeulue","66.03"
5310,"BPS Kab. Sikka","71.60"
7210,"BPS Kab. Sigi","69.33"
8107,"BPS Kab. Seram Bagian Timur","75.73"
8106,"BPS Kab. Seram Bagian Barat","69.71"
1217,"BPS Kab. Samosir","74.66"
1702,"BPS Kab. Rejang Lebong","70.19"
9108,"BPS Kab. Raja Ampat","67.89"
8207,"BPS Kab. Pulau Morotai","63.10"
1118,"BPS Kab. Pidie Jaya","78.48"
1109,"BPS Kab. Pidie","72.57"
1809,"BPS Kab. Pesawaran","68.34"
9417,"BPS Kab. Pegunungan Bintang","69.50"
1312,"BPS Kab. Pasaman Barat","67.22"
7208,"BPS Kab. Parigi Moutong","73.20"
9410,"BPS Kab. Paniai","73.87"
3601,"BPS Kab. Pandeglang","67.25"
1216,"BPS Kab. Pakpak Bharat","72.00"
1115,"BPS Kab. Nagan Raya","73.40"
7102,"BPS Kab. Minahasa","65.85"
7604,"BPS Kab. Mamuju","79.64"
7603,"BPS Kab. Mamasa","72.29"
7601,"BPS Kab. Majene","74.76"
7325,"BPS Kab. Luwu Timur","72.13"
5208,"BPS Kab. Lombok Utara","64.86"
5202,"BPS Kab. Lombok Tengah","75.56"
1801,"BPS Kab. Lampung Barat","74.90"
5303,"BPS Kab. Kupang","74.69"
7410,"BPS Kab. Konawe Utara","74.61"
9408,"BPS Kab. Kepulauan Yapen","79.73"
7104,"BPS Kab. Kepulauan Talaud","73.92"
1301,"BPS Kab. Kepulauan Mentawai","75.92"
1708,"BPS Kab. Kepahiang","67.24"
1704,"BPS Kab. Kaur","69.04"
5107,"BPS Kab. Karang Asem","71.96"
3517,"BPS Kab. Jombang","70.28"
8206,"BPS Kab. Halmahera Timur","80.62"
8204,"BPS Kab. Halmahera Selatan","74.59"
8201,"BPS Kab. Halmahera Barat","79.21"
3403,"BPS Kab. Gunung Kidul","72.36"
5104,"BPS Kab. Gianyar","75.00"
5311,"BPS Kab. Ende","72.43"
7205,"BPS Kab. Donggala","72.24"
5205,"BPS Kab. Dompu","67.90"
1210,"BPS Kab. Dairi","64.52"
3301,"BPS Kab. Cilacap","76.39"
5108,"BPS Kab. Buleleng","68.89"
9413,"BPS Kab. Boven Digoel","69.37"
7406,"BPS Kab. Bombana","68.11"
9409,"BPS Kab. Biak Numfor","71.70"
1701,"BPS Kab. Bengkulu Selatan","61.13"
1117,"BPS Kab. Bener Meriah","79.78"
3402,"BPS Kab. Bantul","65.91"
7201,"BPS Kab. Banggai Kepulauan","63.79"
7202,"BPS Kab. Banggai","76.23"
1111,"BPS Kab. Aceh Utara","69.16"
1106,"BPS Kab. Aceh Tengah","61.91"
1102,"BPS Kab. Aceh Singkil","76.91"
1103,"BPS Kab. Aceh Selatan","63.49"
1107,"BPS Kab. Aceh Barat","59.31"
1,"BPS Badan Pusat Statistik RI","70.21"
