kodesatker,namasatker,imkb
1106,"BPS Kab. Aceh Tengah","61.91"
3204,"BPS Kab. Bandung","60.94"
3217,"BPS Kab. Bandung Barat","60.74"
7201,"BPS Kab. Banggai Kepulauan","63.79"
1117,"BPS Kab. Bener Meriah","79.78"
1113,"BPS Kab. Gayo Lues","70.31"
1215,"BPS Kab. Humbang Hasundutan","68.26"
9402,"BPS Kab. Jayawijaya","68.44"
1211,"BPS Kab. Karo","78.79"
3305,"BPS Kab. Kebumen","76.91"
1501,"BPS Kab. Kerinci","72.06"
3208,"BPS Kab. Kuningan","82.16"
1801,"BPS Kab. Lampung Barat","74.90"
7603,"BPS Kab. Mamasa","72.29"
5313,"BPS Kab. Manggarai","76.82"
7102,"BPS Kab. Minahasa","65.85"
5312,"BPS Kab. Ngada","74.79"
1216,"BPS Kab. Pakpak Bharat","72.00"
9410,"BPS Kab. Paniai","73.87"
9417,"BPS Kab. Pegunungan Bintang","69.50"
9433,"BPS Kab. Puncak","66.88"
3306,"BPS Kab. Purworejo","71.65"
1702,"BPS Kab. Rejang Lebong","70.19"
1217,"BPS Kab. Samosir","74.66"
1303,"BPS Kab. Solok","76.70"
7318,"BPS Kab. Tana Toraja","70.18"
1205,"BPS Kab. Tapanuli Utara","72.82"
5304,"BPS Kab. Timor Tengah Selatan","72.75"
1206,"BPS Kab. Toba Samosir","65.26"
9418,"BPS Kab. Tolikara","76.95"
7326,"BPS Kab. Toraja Utara","74.71"
3307,"BPS Kab. Wonosobo","75.06"
3273,"BPS Kota Bandung","79.13"
3579,"BPS Kota Batu","65.51"
1375,"BPS Kota Bukittinggi","65.76"
3277,"BPS Kota Cimahi","75.58"
1374,"BPS Kota Padang Panjang","46.24"
1673,"BPS Kota Pagar Alam","72.24"
3373,"BPS Kota Salatiga","66.76"
3272,"BPS Kota Sukabumi","75.31"
1572,"BPS Kota Sungai Penuh","74.55"
7173,"BPS Kota Tomohon","74.33"
3200,"BPS Provinsi Jawa Barat","78.32"
